mic1_voltage,mic2_voltage
2.483570765056163435e-02,2.362031389401886977e-02
1.828950508675539210e-01,7.420580142679825131e-02
3.971419802534856824e-01,1.778066743928299887e-02
5.878239532723726901e-01,-1.565290152615771840e-02
6.088294048329142560e-01,-3.542972883229586202e-05
6.738746950215955822e-01,-6.252038669848587749e-02
7.848070201552832525e-01,3.022576631776834055e-02
7.235286134457514784e-01,4.411665311617046087e-02
6.080401103241893646e-01,-2.260451664165401969e-02
5.831076480070805923e-01,-2.350210738797507692e-02
4.480310272141346251e-01,1.329391148260242531e-02
3.664750381016430580e-01,-2.183598680202977760e-02
3.346521838074293376e-01,-3.306630731291122782e-03
1.817444024077789488e-01,1.049860894583257709e-01
1.718703456763486237e-01,1.774569808888133426e-01
2.358796702885935515e-01,3.468405457473899278e-01
2.393903580336566306e-01,4.792953701702135083e-01
3.433213361317755119e-01,6.577466721440778930e-01
3.202828854556205029e-01,6.765203342081494986e-01
3.216949153134585071e-01,6.733777274638423904e-01
4.695612599957643685e-01,7.512220786017566043e-01
3.573986692746393135e-01,7.024939798466187657e-01
3.076030744108004811e-01,5.259584675408470744e-01
1.307871795663518855e-01,3.778749142867269262e-01
3.871909388872143282e-02,4.401372102720019774e-01
-9.020291484854418840e-02,2.883225789411274498e-01
-3.287386668950134094e-01,3.169396945988072756e-01
-4.274997248778004688e-01,1.596110464164084974e-01
-6.363312172904299624e-01,3.086239136656076520e-01
-7.521444453770365079e-01,2.294733175863387653e-01
-8.591281384942759392e-01,3.641471754553380347e-01
-7.810345076440080581e-01,3.663977426235027757e-01
-8.696771116153567682e-01,3.446131294103907949e-01
-8.705739049724960932e-01,3.759270059033475997e-01
-6.857569945672392642e-01,4.030034071468011070e-01
-6.684870846473037753e-01,3.095213868321660122e-01
-4.621080188863974092e-01,2.312452379006489367e-01
-4.340754146940355440e-01,1.647602593407548333e-01
-2.773912149508137026e-01,-1.739611249195900655e-01
-9.778328632724653247e-02,-1.903283592754670961e-01
4.201515452428250530e-03,-4.410668289189234037e-01
2.002547857437107781e-02,-6.512384852106462008e-01
2.141630256532094795e-02,-8.040754391743222262e-01
5.853401744982607985e-03,-8.384988274216577109e-01
-7.179093180929574380e-02,-8.275659112732319800e-01
-5.379837881611793798e-02,-8.753797063973367543e-01
-5.046713796885191061e-02,-7.421306120123337680e-01
3.612616845325031939e-02,-7.994430246749766322e-01
3.861754522051580318e-02,-6.080493495410553839e-01
2.078232140123981164e-03,-5.351708708572910922e-01
2.045008325884225542e-01,-3.179103143687984079e-01
2.905299204375897948e-01,-1.666375430010271774e-01
4.111007463852478505e-01,-1.286644378047553661e-01
