mic1_voltage,mic2_voltage
1.066219351546097149e-01,-1.131137094404406282e-02
4.714367446413639806e-01,1.125835199025239652e-01
8.628774120381971224e-01,6.446734415263168094e-02
1.138938128127696237e+00,-5.749048634997779017e-02
1.484487997788589864e+00,-9.616662218482059654e-02
1.694505093556864406e+00,2.397978516451830175e-02
1.681221329369030570e+00,-5.238434621768300187e-02
1.800286779551093952e+00,-8.018511840378042196e-03
1.661830084671828356e+00,-6.934997480110507984e-02
1.491333093299016310e+00,-2.233026842071993145e-02
1.279078245874632369e+00,-8.350482615226161032e-03
9.806236143725137744e-01,-6.293552528597490259e-02
6.708641075115963082e-01,-3.335738528435198275e-02
4.216420105419667053e-01,-9.693572759146050835e-03
2.021063598855262489e-01,2.808382486853137072e-01
-7.685929676754391093e-02,6.382091523269530775e-01
-1.923404869293936226e-01,1.010374140404411536e+00
-3.399809379519611596e-01,1.409021857525130317e+00
-4.464633122256047582e-01,1.587104661144217665e+00
-2.755031282091179312e-01,1.675750063303812487e+00
-2.182036537796990805e-01,1.794199974613614357e+00
-2.033889133088866985e-01,1.794518679114507131e+00
-6.630681255744887148e-02,1.639871046838175861e+00
1.351303773492188998e-01,1.330757305755798425e+00
2.042944894141822398e-01,1.194392074709225593e+00
2.946249189589905670e-01,9.072549582054195705e-01
4.459458386269896657e-01,5.664315273680373686e-01
3.457835462243006863e-01,3.398415482252980513e-01
2.994395601672675267e-01,4.453250940308467465e-02
1.985050461737476457e-01,-2.004468508471873300e-01
-1.413648170507141033e-01,-3.309347837805909354e-01
-3.712579778273039643e-01,-3.787261845498102186e-01
-6.952460524162360489e-01,-3.909044272634048522e-01
-9.657537335709748261e-01,-2.491427745131389038e-01
-1.228984274152962852e+00,-1.933804707987863414e-01
-1.513742513772646792e+00,-4.381611763133563819e-02
-1.658022781333551077e+00,5.060314724837998435e-02
-1.809565744620130312e+00,1.273720257687745439e-01
-1.838565940045413072e+00,2.847369746263117563e-01
-1.709970074277180618e+00,3.593008471362139078e-01
-1.400339834637214009e+00,3.249631726076672722e-01
-1.180751366825135706e+00,2.966663429791291939e-01
-8.542691478887906031e-01,1.031337559772540352e-01
-4.502095945167119972e-01,1.747529110974600092e-02
-1.254370232862753870e-02,-3.236765090197471495e-01
4.461896683748804437e-01,-4.743348010336053133e-01
7.693126155227067997e-01,-8.030261141804774239e-01
1.171189112492589279e+00,-1.142018442163183822e+00
1.419463787199935823e+00,-1.328565319617086793e+00
1.635204855208267638e+00,-1.595264910301082306e+00
1.631000846822396211e+00,-1.707687046496236594e+00
1.772303519210024492e+00,-1.704807324075185537e+00
1.659162952189139117e+00,-1.642275474530037860e+00
1.539489444684512431e+00,-1.578148257707733482e+00
1.310014823313315757e+00,-1.399638275296719359e+00
1.100581347364777418e+00,-1.013433207027728988e+00
7.423002174733001057e-01,-6.796681652994457368e-01
4.877919452081880825e-01,-2.710911799038382419e-01
2.136367228484724323e-01,1.559173596627718428e-01
-5.425956136164590549e-02,5.629713634790278753e-01
-2.650588793990160674e-01,9.224528580066784222e-01
-3.128722982281840204e-01,1.185561124310551495e+00
-4.516900089934728357e-01,1.549278878821058969e+00
-3.266644031299266171e-01,1.725137329845543688e+00
-2.524718250668576136e-01,1.656478127113217624e+00
-7.552536832871988015e-02,1.591970338138372076e+00
-2.954636205361333562e-02,1.652935728983604191e+00
6.855769280015514000e-02,1.400142843055201647e+00
2.050356400633657206e-01,1.191678254067650933e+00
3.501995331134912237e-01,8.955410576510677290e-01
3.520359998754089559e-01,5.006947692115051307e-01
3.483373887105667976e-01,3.973279538966217328e-01
2.436334092300841137e-01,2.091689075304017653e-01
1.003060162195013316e-01,-1.022356361662763585e-01
-1.773383445583021634e-01,-2.665817881551451052e-01
-4.451197794324874280e-01,-2.697579934902881726e-01
-6.056615808922817257e-01,-3.352319272781284498e-01
-9.572982111187003929e-01,-3.230947648392396565e-01
-1.213357826268546935e+00,-1.686997994787011734e-01
-1.522043045658810545e+00,-6.913258914764343344e-02
-1.615765964227469764e+00,7.210229412075194744e-02
-1.755073910608001331e+00,1.598628624137984344e-01
-1.715349781126719542e+00,1.970247860390428873e-01
-1.644021257230626532e+00,3.455132277091786386e-01
-1.488474840812339606e+00,3.628333050948516214e-01
-1.229078807740398016e+00,1.949417029247715871e-01
-1.000476200182279563e+00,1.929330556601459301e-01
-5.106358521199954037e-01,4.193861894154986975e-02
-7.677698473553661029e-02,-2.994407574033544073e-01
3.136948400819336014e-01,-5.264266931026241325e-01
6.674292401802049968e-01,-7.945948420233118759e-01
1.119022744379255974e+00,-1.020306228990307318e+00
1.370912176294731610e+00,-1.451610055851497050e+00
1.631073621675616536e+00,-1.643106006033499877e+00
1.703811464286025146e+00,-1.620220041244853970e+00
1.728772642448082264e+00,-1.790371287907788433e+00
1.667935116222901470e+00,-1.721344021604563457e+00
1.546579140253950158e+00,-1.624738099928583202e+00
1.348780080782542967e+00,-1.412067005573357958e+00
1.060476290633220575e+00,-9.753547621899057996e-01
8.098784315795106714e-01,-7.303586159695486524e-01
5.160859592331399348e-01,-2.310896051692986619e-01
2.013529477537525092e-01,1.161796576626518140e-01
2.560387249992931991e-02,5.918653716923913954e-01
-2.495496958447615821e-01,8.700716078236403472e-01
-2.961300120808458836e-01,1.280534132048038565e+00
-4.013644146009771041e-01,1.492869402301282733e+00
-3.130041618076695453e-01,1.656946980232714806e+00
-3.407297357104103197e-01,1.737963422679450032e+00
-1.716965458498166119e-01,1.769953179409556210e+00
5.256560155735619244e-03,1.605418391268170764e+00
-1.815973407395199413e-03,1.409081288773549989e+00
1.957901675450412216e-01,1.226478477386733656e+00
3.176188811138547785e-01,8.895953315672479045e-01
4.126030233097548461e-01,5.924328622858651139e-01
3.866820327019811487e-01,3.447797556102093486e-01
1.948598290914971276e-01,7.057952811285964079e-02
9.223726677221749659e-02,-8.926223745914670105e-02
-5.412265918635236067e-02,-2.099362827614806859e-01
-2.534669434577472291e-01,-3.358703855615605138e-01
-6.883798588733298640e-01,-3.472229723041206362e-01
-8.462473596278262677e-01,-3.144324483933473302e-01
-1.265246210695693652e+00,-2.361135801664521194e-01
-1.356097776730767590e+00,-5.420134357955862930e-02
-1.714274515314129221e+00,4.899288648665457019e-02
