mic1_voltage,mic2_voltage
8.452628519001781360e-02,6.846238470183071412e-01
5.864149478903373236e-01,7.338659962547833260e-01
1.151301685095160288e+00,7.600341787133024773e-01
1.582918714622198575e+00,6.168062472388875506e-01
1.773961862109424859e+00,5.496101622963961431e-01
1.895085495073378867e+00,4.135575168858108830e-01
1.827366131240394154e+00,3.490057709827826815e-01
1.564876845481114387e+00,7.541117858861762224e-02
1.475477225972590567e+00,4.244946051899262107e-03
1.227910556097494998e+00,-5.241371603268844132e-02
9.853610897279619918e-01,-1.250477113559921027e-01
8.980476563666567325e-01,-9.516879710234789347e-02
8.971069747061517496e-01,-1.217545193665509062e-02
8.829616897289986888e-01,-3.051706108133532547e-02
9.365594369784415729e-01,-7.838045958353763443e-02
9.212869788205371169e-01,9.458294191383272154e-02
1.027729015594594397e+00,1.350188193749574661e-01
9.533398361998669523e-01,1.144075591946513426e-01
8.461425682036485263e-01,3.717926679946368523e-02
5.936637767572040536e-01,-4.602984265700936495e-02
5.699267143944113378e-01,-2.460163326410619855e-01
3.263658057490066433e-01,-4.354845727587873805e-01
1.766883353411337343e-01,-6.098201138469716565e-01
2.440011750219156506e-01,-7.383064076897831729e-01
1.643973651736344854e-01,-7.005263364758348432e-01
1.883574766289277669e-01,-7.971293535418229048e-01
3.836748070102489749e-01,-7.671425881862170559e-01
4.517006069650820743e-01,-5.578833283490449713e-01
7.689003300396674012e-01,-5.599856229313160405e-01
8.087381738030926526e-01,-2.890688653949811115e-01
8.539634408841989544e-01,-2.145565869655139402e-01
9.533349163375175461e-01,-3.941107710981085060e-02
7.834716243141469638e-01,7.815232470509293761e-02
8.351498939646104791e-01,1.938739937546328229e-01
6.437083318780867369e-01,1.763145910482399603e-01
6.644802379324209474e-01,2.104995646322356528e-01
6.072557037987432738e-01,6.399136450757969552e-02
7.261584288751639082e-01,9.389746889444962330e-02
7.299730113765164896e-01,-1.183733237983614212e-01
5.992002322945098047e-01,-2.773063411456707650e-01
6.006055840121541367e-01,-2.944566097924341541e-01
4.520540250654637715e-01,-1.522331597807354830e-01
3.538927881650297258e-01,8.419206079749518012e-02
1.297532606571041025e-01,1.968752500748141010e-01
-7.211717859751308468e-02,5.222205849660670474e-01
-1.948834240201640644e-01,5.984413788673785817e-01
-1.375774144722922698e-01,7.574028148787104175e-01
-1.052526589856121741e-02,9.144399974694981115e-01
1.347058152539401879e-02,7.570275983141234732e-01
1.693427399293624402e-01,8.904247952756572104e-01
5.246234763840159632e-01,5.823173866616072614e-01
6.646925934005596392e-01,3.043105169883030259e-01
8.208399853789728473e-01,2.053140822617586236e-01
8.861169817143436100e-01,-1.723668581062548499e-01
7.916722340053730100e-01,-5.327780758909808068e-01
5.704820988099427170e-01,-6.540279486047249069e-01
1.861794857209716769e-01,-7.830559297734535074e-01
-1.166904676293854248e-01,-8.809661247860189892e-01
-5.591594431825562816e-01,-9.411931188987856522e-01
-8.580455895750789264e-01,-9.432649935831683985e-01
-1.196152195987907785e+00,-7.664369450160946062e-01
-1.394688985279518789e+00,-4.876854402218908091e-01
-1.277931608886258452e+00,-2.658795052644841173e-01
-1.030403605424264679e+00,-5.743586106789631829e-02
-8.851965599310147592e-01,2.564043824697577190e-01
-6.223974981932384187e-01,3.024847625856080247e-01
-3.659412024453464474e-01,5.801331585692237613e-01
-1.494950629215903992e-01,5.122666404354470071e-01
7.540773116688314140e-03,5.562334907855118749e-01
-1.054204098979884263e-02,5.440197263372319458e-01
7.469750331959119916e-02,5.236348059920613585e-01
-1.009391767130897177e-01,4.637524780146966563e-01
-1.612342480919298493e-01,2.428857606735760344e-01
-1.258457727567746376e-01,2.088426696319595766e-01
-7.571843529768645942e-02,1.758272138747936086e-01
-2.727273206386628818e-02,1.837558712601784772e-01
2.088278722292472855e-01,1.490090561275245751e-01
4.801974963690710529e-01,1.446539457684921370e-01
6.826150339392343946e-01,2.883946050450977294e-01
8.022361594779953142e-01,2.467155351392515961e-01
1.032735285185155449e+00,1.891964187237685224e-01
1.039365907136079459e+00,1.853827976006128808e-01
8.924009138833716159e-01,4.972881927757050180e-02
6.023710482709214720e-01,-1.164148028184484734e-01
3.501960050700033689e-01,-2.431781791682209870e-01
2.052833175319287995e-02,-2.240039060115139313e-01
-2.516296199986367554e-01,-3.487745715563453919e-01
-3.986816896270577448e-01,-4.086097462515960177e-01
-5.316187630920291562e-01,-4.734035124125766103e-01
-6.311096878847470837e-01,-3.878870223510188509e-01
-6.151597349747726096e-01,-3.152677965955104078e-01
-5.287843888955754412e-01,-1.584540261258512994e-01
-4.501197321342698121e-01,-5.070337145734195305e-02
-3.297372194919164223e-01,-4.212564678814655073e-02
-2.410745837120524815e-01,1.629541328759818442e-01
-1.024862333386003105e-01,1.483190696351043558e-01
1.129973493313115168e-01,1.501556663429613192e-01
1.431448272987865811e-01,-3.328054620019821330e-02
1.902864731719002278e-01,-1.342610367640355018e-01
3.023577138108854978e-01,-4.836537225043670007e-01
4.062831232246583713e-01,-5.915258879974933937e-01
5.813343558602482863e-01,-9.495315063114395659e-01
6.621742756388200313e-01,-1.130037382821137637e+00
5.924245147051853122e-01,-1.124836448858491433e+00
6.324145046237764634e-01,-9.994555425025675177e-01
4.350523357374685984e-01,-8.918074677252454396e-01
3.079801159646889941e-01,-8.532434053333101120e-01
-4.222462351113707990e-02,-6.660193691573200736e-01
-2.741108682023858378e-01,-4.986063372674718330e-01
-6.714546207508828024e-01,-3.951747202046749785e-01
-8.860249764945101747e-01,-1.584180301035053584e-01
-9.796578742815577057e-01,1.225336205636788356e-01
-9.472025850417726822e-01,2.649175423634183013e-01
-8.628426776945504750e-01,5.970021040124676714e-01
-7.539340041431037420e-01,7.880779466687956036e-01
-4.343011320694671329e-01,9.219102673405095150e-01
-1.911169245277938022e-01,1.140011680112944070e+00
-4.817345964812744241e-03,1.048863009537690072e+00
1.184790966739119322e-01,1.010501420303654641e+00
2.851366107608924172e-01,9.190971517576711491e-01
1.471473425985881656e-01,4.851983444807541623e-01
4.451128305293058918e-02,1.510681686045010352e-01
3.204009410090977172e-02,-1.059540569472361971e-01
-4.192591482000098541e-02,-3.000590750827132336e-01
-2.634115327199291340e-02,-4.240005476359502423e-01
1.360593129203435947e-01,-5.416320152920358622e-01
3.306928771270697398e-01,-4.967607416373444607e-01
5.960141551897583101e-01,-3.242626740846296096e-01
9.142354280040082548e-01,-2.292600521807371949e-01
1.129562291453338974e+00,-6.492107309245859215e-02
1.242104979836992529e+00,-1.084892917783370492e-01
1.281256379932011358e+00,-1.740059678934424703e-02
1.151662655800304025e+00,-1.700203602101936495e-01
9.281859885411128941e-01,-3.266777349508362960e-01
5.005214259480287309e-01,-5.511736243805210878e-01
5.015037545201370128e-02,-5.852255078100048191e-01
-2.535199127928298157e-01,-5.870607805089668174e-01
-6.527819433371706559e-01,-4.198341537572177762e-01
-8.958899988109703116e-01,-2.436979174533056847e-01
-8.548215557457422564e-01,2.455641962185128174e-02
-8.513209459245676403e-01,3.946412290177890858e-01
-6.280212299567458079e-01,9.037703794192541995e-01
