mic1_voltage,mic2_voltage
8.820261729838320408e-02,-2.633923040008194494e-02
1.898709378616038612e-01,-7.688745130308491382e-02
3.820784483585965008e-01,-2.029249402594060503e-01
5.956075605351857094e-01,-1.921440005419181030e-01
7.088409221364736501e-01,-1.615520795478413429e-01
6.751878897577544558e-01,-2.078300208283547224e-01
8.531388962653435604e-01,-5.030045994467097215e-02
8.502101552153824571e-01,-1.246367680636419617e-01
8.742526927361734534e-01,-4.690364969878646484e-02
8.914009597860916845e-01,-2.546697277215209318e-02
8.410446960039498210e-01,-2.779243957770538564e-02
8.439928777051159958e-01,2.164624650456636323e-01
7.252767791381523610e-01,1.517759281307127228e-01
5.926801260160532436e-01,1.591904173183111004e-01
4.971148098073308041e-01,1.724575185981019887e-01
3.747334417786671867e-01,2.334981867227255981e-01
3.165510323523818004e-01,7.297367141299807014e-02
1.216385282205089818e-01,9.312647701465608108e-02
4.886691097056697353e-02,-4.307933049640407658e-02
-9.270854711090815992e-02,-1.486835263753283620e-01
-2.422302262729038869e-01,-1.992990192416508044e-01
-1.258345999331123566e-01,-2.939573418706121211e-01
-1.378434706887427807e-01,-4.861706373111059354e-01
-2.198729614732069515e-01,-6.115654896624178605e-01
-5.188864599429132696e-02,-7.338988833186275151e-01
-2.044937458362256488e-01,-7.066790753158611604e-01
-8.348744009081293660e-02,-8.561081097858702638e-01
-4.126266335318838629e-02,-9.602078469305945774e-01
1.014999411854826672e-01,-8.094766735547174186e-01
1.528409021792432876e-01,-9.306505174323709273e-01
1.343639102017630260e-01,-7.748246547864208189e-01
1.809010009559737786e-01,-7.266176572510272269e-01
1.371968718575824753e-01,-6.160027826498902792e-01
8.335344827044557925e-02,-5.303896979338909023e-01
1.451093806465961755e-01,-3.344909336445173187e-01
1.290464502714179229e-01,-2.741548674412194742e-01
1.206626177627879992e-01,8.032677888016905021e-03
3.822907437029030714e-02,2.267074969742153556e-01
-1.382163244688104919e-01,3.575122739242324599e-01
-2.427670673964267001e-01,3.646873407190077687e-01
-3.957970188111016308e-01,5.509513873413557361e-01
-5.314763866560588967e-01,7.025011340065353549e-01
-6.584365412099280057e-01,8.213563874804504783e-01
-5.779053261909367079e-01,8.475873644935438822e-01
-7.873368727398626365e-01,8.537189779694017711e-01
-8.492490251261236578e-01,9.033090575773188302e-01
-9.303910785693182417e-01,8.981469222104614403e-01
-8.410997626829292972e-01,7.687525177594951575e-01
-9.428524347126214789e-01,7.351924228815654994e-01
-8.244346953600723005e-01,4.709441706750960854e-01
-7.805624176440872919e-01,4.424111090835930460e-01
-6.110534293676910256e-01,3.566779576020385201e-01
-5.267111910467684455e-01,2.317123364833694743e-01
-4.118021158618697108e-01,1.617599242412078586e-01
-1.921749842139403586e-01,9.546763263730781435e-02
4.738397754714546162e-05,-1.523321629088672524e-02
1.521828560167657329e-01,-1.387195833264647793e-01
3.284345089399052231e-01,-2.303286852630258563e-01
4.339482403042956848e-01,-1.515617122833230745e-01
5.820247791556413253e-01,-2.755524160991128513e-01
6.782678577164781286e-01,-1.358534825433253823e-01
7.790318641564267788e-01,-1.461621805576851785e-01
8.122626840743324417e-01,-1.508459374859121849e-01
7.920655672083428689e-01,-2.453768542500872618e-02
8.824153493053918940e-01,1.763932350920699443e-02
8.198502870888000338e-01,7.102658947155264524e-02
6.988573007705227713e-01,1.170601436175810611e-01
7.218850422885921825e-01,1.793377898412142901e-01
5.545317897154077302e-01,2.263343631125008804e-01
4.918838481788364581e-01,2.082270861887601798e-01
4.091954325638158529e-01,2.167652771397827749e-01
2.625897930589712881e-01,1.253435719945503457e-01
2.020900475981501632e-01,1.489176364372353789e-01
-1.696118575528784977e-02,1.773904920830393292e-02
-2.044958553342869634e-02,-1.331743493069728890e-01
-1.418488142857276535e-01,-2.682603639459104627e-01
-1.977301381969106264e-01,-3.184212877424553723e-01
-2.083524015504882032e-01,-5.112857695041521655e-01
-1.992212057219808763e-01,-6.081567700244461250e-01
-1.656970796021595416e-01,-6.514595941502578924e-01
-1.949972184903495942e-01,-7.824957494377030587e-01
-4.701286374129137746e-02,-8.671205830236442536e-01
-1.561742906182537333e-02,-8.659133773236363796e-01
-5.902905567170414758e-02,-8.764299141305827989e-01
1.472690638071449953e-01,-8.763497303755040102e-01
2.160657672454799338e-01,-8.403732009643481993e-01
2.173005629778897441e-01,-7.043647669182900861e-01
1.711164202239578436e-01,-6.278388193887569635e-01
1.298586951890404739e-01,-5.296495313127393967e-01
2.188812039952241217e-01,-2.489699712809560483e-01
1.073917105882816608e-01,-2.018611287982195746e-01
1.291169237447580276e-01,1.387484992994669070e-02
-4.026929943441864834e-04,9.971131714954326042e-02
-5.715769599864840150e-02,2.251434223766460296e-01
-1.957472912504701068e-01,4.078978768476500538e-01
-2.933824695195619281e-01,5.711030246356495477e-01
-4.454346923219811294e-01,6.744821729902912288e-01
-4.701944469513169023e-01,8.547457519554945149e-01
-6.570683435337568712e-01,8.415823272972816627e-01
-7.320019089513702948e-01,8.999440694409207575e-01
-7.262972361594853821e-01,8.734418299295775290e-01
-9.315775780763387859e-01,8.239512523884338080e-01
-9.435880590100589327e-01,7.910093513222594686e-01
-8.175881937066664662e-01,7.956995202646639509e-01
-8.801520252670917976e-01,5.746153849834261251e-01
-6.499158440714478679e-01,5.419082170607278925e-01
-6.656411359910856529e-01,3.361311870841601768e-01
-5.558509662750424907e-01,2.475407644186613243e-01
-2.760389666327051073e-01,1.586906504066575851e-01
-1.375269760729190271e-01,7.290099851706052791e-02
5.065254126740869473e-02,4.331436833143946508e-02
1.730626002199003310e-01,-1.028187175772155293e-01
2.502291854843113894e-01,-1.917103745222303868e-01
5.429889502847750071e-01,-1.449229536789380379e-01
5.711033452579861169e-01,-2.024267931617730054e-01
7.394354032665868548e-01,-1.594391917013475712e-01
8.352890412280422616e-01,-1.473122782106855988e-01
8.398338787475453371e-01,-1.953729110905233490e-01
9.075745940861678074e-01,-2.042725385958886822e-02
9.218762213095483826e-01,3.984839625487279768e-02
8.644502455828736442e-01,1.125656512411017940e-01
7.341395111203740109e-01,2.057714285885238192e-01
7.249088554864301370e-01,9.473428599685443374e-02
6.793321094046184117e-01,2.041745969499334790e-01
4.688303015461821044e-01,2.045419287358120064e-01
3.799498226490657382e-01,1.485225944129393294e-01
2.487644089460513963e-01,1.533984764605569318e-01
2.509746765328955131e-01,1.015211917187882340e-01
9.019698188133276617e-02,-6.093419149886112468e-02
-1.046897125519571231e-02,-8.101309541622842003e-02
-1.388103892262545769e-01,-2.454975998154696470e-01
-1.225671346308431775e-01,-3.466790315183094218e-01
-2.111416853643453551e-01,-5.201230844846412849e-01
-1.826267748022676607e-01,-5.693706052908551474e-01
-2.031655741668833837e-01,-6.613235342927104021e-01
-1.076794914864730168e-01,-7.145368817999364630e-01
-6.937052769543514130e-02,-8.131332261666253114e-01
-5.625715091818726810e-02,-9.373054463153498439e-01
3.048033154689012286e-02,-8.365773277409795927e-01
1.158233738914623417e-02,-8.754086020606532959e-01
4.118541083023215255e-02,-8.043075195931169707e-01
1.764590597332550692e-01,-7.096728395163652836e-01
1.866828995044719497e-01,-5.880097134375923407e-01
2.158287507483695467e-01,-4.374134282731784729e-01
2.886339327965275481e-01,-3.949886108235177717e-01
1.807671389875886714e-01,-2.166548046081034351e-01
3.089773269098200492e-02,-1.179736434961106833e-01
5.585081440479137266e-02,1.596660126782976363e-01
-1.591196040056260808e-01,2.138478533615398858e-01
-2.226776147559743069e-01,3.387750318057425880e-01
-3.174982867880114523e-01,6.100161305641867981e-01
-3.457187076427404304e-01,6.602385787382443194e-01
-5.829403001181531208e-01,8.172695558310505426e-01
-6.924669276519872518e-01,8.621761413497229798e-01
-7.469523513860275576e-01,7.933847840542835872e-01
-8.463521368182860272e-01,7.415484716608580218e-01
-8.038592426700404969e-01,7.960748199090266208e-01
-9.336813060033640754e-01,7.983222362336778177e-01
-9.268527035037038564e-01,6.598790277504313906e-01
-8.506170513518215293e-01,5.932954953960508648e-01
-7.828712679739655567e-01,4.447793877078128344e-01
-5.626633481951948124e-01,4.106041401137558444e-01
-4.880037373951412460e-01,2.895220108687359128e-01
-3.869991108206748409e-01,1.479918367184424877e-01
-2.934828028542945111e-01,1.384655486454158257e-01
-2.183744013519433452e-02,5.405026268098876707e-02
5.657523680705633939e-02,-6.443937191940547760e-02
1.958536707512477659e-01,-2.345226971624000400e-01
4.884391058548787634e-01,-2.303433625055367751e-01
5.843439608934096752e-01,-1.641281806018247968e-01
7.323663461746759973e-01,-2.054017506874648846e-01
7.943255744110895300e-01,-1.704063306444494608e-01
8.846139394775490716e-01,-5.925539573288325645e-02
8.423336369404615942e-01,-2.717475794558787267e-02
8.258202977877655560e-01,6.926940723830450619e-02
8.849846331777438957e-01,3.805904462990269271e-02
7.573271786759424584e-01,1.788174362334649659e-01
6.864903555976599181e-01,1.226771708262106297e-01
6.031569426876193241e-01,2.512756924447326345e-01
5.186003821889320076e-01,1.897305930834708443e-01
3.844105465612354111e-01,1.294343188836854508e-01
2.162331498460187129e-01,5.764392016388031337e-02
1.398805477791796315e-01,6.970260923108859141e-02
-4.255787403149263737e-02,-2.258867248986724807e-03
1.042608386636996454e-02,-3.797922916584541703e-02
-1.728056148265654235e-01,-1.912898812563868234e-01
-1.997533050604853311e-01,-3.211273262685965246e-01
-1.725006011822075858e-01,-3.629136375430546679e-01
-2.214628469755528517e-01,-5.430195461542060009e-01
-9.682314190489860195e-02,-6.674600286248932868e-01
-2.106946045450306948e-01,-7.029182438679768552e-01
