mic1_voltage,mic2_voltage
-3.148466704972542954e-03,7.910190537069820005e-01
5.865215337383663519e-01,9.801918958828923500e-01
1.109681069437591816e+00,1.161765275795385799e+00
1.697386327430501884e+00,1.269918770296170951e+00
1.967328458224696375e+00,1.334875116369270476e+00
2.154478977204416612e+00,1.209424246962782279e+00
2.095388856862022475e+00,9.977829188468675392e-01
2.064510583744963323e+00,6.462636070949236977e-01
1.832842218733539585e+00,3.121211890616695794e-01
1.677650938288369753e+00,1.446595199615210159e-01
1.423726916693741629e+00,-1.917574733267256026e-01
1.113719546558072704e+00,-3.247773123847789711e-01
1.026342991361419044e+00,-5.191227202746645508e-01
1.037308347631801686e+00,-5.991253754131675713e-01
1.026769448658468642e+00,-5.603627825846899668e-01
1.025469723296871249e+00,-6.083613536426947244e-01
1.039558054395931519e+00,-5.662697796930340477e-01
1.082802519362330518e+00,-5.469714187219741897e-01
1.006368841752222298e+00,-6.467968874355255471e-01
9.772731893763474398e-01,-8.427435306148437499e-01
8.917603704702264933e-01,-1.037569900091082964e+00
6.442879336130226120e-01,-1.169687183026002275e+00
4.419572441842961052e-01,-1.267840178435638121e+00
3.036594718805980531e-01,-1.418001105700777531e+00
2.503546629210832708e-01,-1.211092726713183687e+00
-1.545609441241962978e-03,-1.258700895266828379e+00
1.185219340533060078e-01,-9.980986205478425966e-01
1.336068545085973835e-01,-7.251240662502556056e-01
2.538350045214150530e-01,-5.778774312047453288e-01
3.731616755815905795e-01,-1.943936562213171848e-01
3.958164476829725276e-01,4.786540111136410036e-02
4.686246799202429258e-01,4.071312356135570187e-01
3.983278966771181540e-01,5.013923708677957558e-01
1.743814154160038266e-01,5.667447068178447234e-01
4.098626549872003144e-03,4.534667894146091061e-01
-2.534822440626774975e-01,3.931124884442000478e-01
-6.093261365099861271e-01,2.321367562013426644e-01
-1.051755076106571041e+00,5.417796678683389766e-02
-1.424830965124756155e+00,-2.355058468838298197e-02
-1.585651679008343251e+00,-1.481981948969204599e-01
-1.718348389097392959e+00,-1.040284233465996466e-01
-1.795269166566497265e+00,-9.188255824870164568e-02
-1.701717703828100836e+00,8.181613709374915833e-02
-1.528299023579273941e+00,2.750537022485311511e-01
-1.310435077043820007e+00,5.804582193702579884e-01
-1.014667920329346940e+00,8.748546713427629573e-01
-7.370025503440584824e-01,1.103653422097749637e+00
-6.276123925530077141e-01,1.192585594495466195e+00
-4.110991806129800086e-01,1.202486103765311842e+00
-5.003797607066435837e-01,1.030880362163199448e+00
-7.135934244759521983e-01,7.998163131359032896e-01
-7.027872724768899904e-01,5.193450400316008686e-01
-9.881522616826238226e-01,1.348173856734604381e-01
-1.138250559738774648e+00,-9.999522367400158485e-02
-1.228999759317012774e+00,-3.408726018625802823e-01
-1.222647448946502458e+00,-3.953899605765171521e-01
-1.118023935560315874e+00,-5.314214007229312031e-01
-1.003174389485906204e+00,-4.770913331893549270e-01
-6.399237517287218457e-01,-1.423212347012614565e-01
-2.867188158870128678e-01,-2.267029900405830717e-02
-1.876322613228925684e-03,3.448230360020150820e-01
4.020012847960710567e-01,6.090181393672600141e-01
7.964880261016851204e-01,7.034967042573574414e-01
9.838328181867144195e-01,1.030963942325323845e+00
1.197541431641494514e+00,1.021843714878258869e+00
1.234778856874931829e+00,1.036155424748043119e+00
1.254363722070610754e+00,9.162428272080141989e-01
1.089496884912902086e+00,7.986294929854250713e-01
1.203038092960803995e+00,7.501058516926573105e-01
1.120417525044431928e+00,5.881215039908171960e-01
1.137886046395973905e+00,5.279248460179271074e-01
1.181604795044239209e+00,5.365998167315061407e-01
1.235977316549769833e+00,4.604249319730731593e-01
1.327510299434861984e+00,4.843155750055488928e-01
1.308335466002847003e+00,3.466995714786069160e-01
1.366487451631231531e+00,1.777704302946261916e-01
1.163389221268368079e+00,5.016700345648272830e-03
9.537661202407610173e-01,-9.195617335999478614e-02
7.573785087712234798e-01,-4.496027604923020782e-01
2.945932767116128947e-01,-7.444524693177081431e-01
-1.115823416662820866e-01,-1.099594950140999172e+00
-2.940308194069271019e-01,-1.333427298911476822e+00
-7.252457731469610369e-01,-1.630272698622700522e+00
-9.031570491084255359e-01,-1.667426905359955303e+00
-8.792156894633055275e-01,-1.739623784767588166e+00
-8.877992918454509219e-01,-1.642641818409509735e+00
-7.278223593132086000e-01,-1.366476815854559490e+00
-4.320979313947053146e-01,-9.626386230443516601e-01
2.488902613169186040e-02,-5.639489139980472521e-01
4.973426006001369082e-01,-1.936814286488642844e-01
7.794712563522675497e-01,2.201567697126590728e-01
9.974918207134803039e-01,5.370122138021162783e-01
1.166990568604090228e+00,6.280207378516267092e-01
1.199382018450495080e+00,5.523067356592274990e-01
1.100877586109011208e+00,4.767055619999925331e-01
8.364941103132886857e-01,2.136801763210596505e-01
4.774023051380139604e-01,-1.608105575609200810e-01
1.796837864984787425e-01,-3.694664056342163994e-01
-2.033967609862085413e-01,-6.954500469697556531e-01
-4.936524659915870750e-01,-9.780190839745042108e-01
-6.812752522538115807e-01,-9.606666891070991809e-01
-8.280049194064281748e-01,-1.160623746506203480e+00
-9.076112132857435677e-01,-1.139356855039155958e+00
-9.418892992451662893e-01,-9.342705183239512490e-01
-9.045507589404285786e-01,-7.212727452460316879e-01
-8.118298371229302202e-01,-5.429833171035460815e-01
-7.768796819274387255e-01,-3.472852722152781624e-01
-7.653990194223461163e-01,-2.993926698884278315e-01
-8.674000251829383501e-01,-2.437344184723018170e-01
-8.965041019642157050e-01,-2.326012683756480126e-01
-1.029756945004222546e+00,-9.251874153560873948e-02
-1.089381567800334460e+00,-1.084996138241564045e-01
-1.025933599936666107e+00,-5.179420245105577358e-02
-9.933132971272110590e-01,8.636852757852865603e-02
-9.148854625133748808e-01,1.542268422853738108e-01
-6.571489684866365089e-01,3.529260031972083489e-01
-3.954542304784663398e-01,7.693685985401698124e-01
-2.347937986380055075e-01,1.085424124635551602e+00
1.171302238724772349e-01,1.253745107831546690e+00
3.745055221889498909e-01,1.603186036967402028e+00
4.322608632042873600e-01,1.717215894874692728e+00
4.473726034168848398e-01,1.809638992841589022e+00
3.743411641112189825e-01,1.787730113277003374e+00
3.115238563953194317e-01,1.622484392366529304e+00
7.041069604449753938e-02,1.385943299654001093e+00
-1.563471764957703181e-01,1.128058185980190808e+00
-4.813265199605892275e-01,8.675226204710376754e-01
-6.285770887869085444e-01,7.427802318591902875e-01
-7.013316659147725840e-01,5.622404345658773561e-01
-6.191377082441842372e-01,6.354776767944784188e-01
-5.060449907592987628e-01,6.996156121017456098e-01
-3.169898236636240485e-01,6.733829589359608958e-01
2.194664937453309761e-02,8.371015466701104968e-01
3.183458257106164258e-01,1.018335561009229728e+00
6.195168171542911884e-01,1.012129560729305711e+00
7.658300534294252282e-01,9.902717878974730548e-01
9.951906615685255364e-01,9.011987184155716424e-01
8.976526604092577299e-01,6.569308487515651551e-01
8.166204465782236355e-01,3.564861640994176906e-01
7.452989780216817683e-01,-4.550177441131353362e-02
3.821688004532709515e-01,-6.033045120027368258e-01
2.057500147919039957e-01,-1.022936395618082139e+00
8.984730699991258507e-02,-1.453380260070625596e+00
-1.070906824475563457e-02,-1.779818002396728049e+00
-5.928407992001274995e-02,-1.830773286386169874e+00
-4.557109811979050129e-02,-1.824028452938910583e+00
8.043805214783905644e-02,-1.757401440493883138e+00
4.989749588138134295e-01,-1.650609382614341980e+00
6.582232456230571183e-01,-1.393216197339743001e+00
8.915903698553522272e-01,-1.194369523604410732e+00
1.275585746497664985e+00,-1.067408017041814317e+00
1.212380805970607156e+00,-7.994098826877883424e-01
1.369927585004165449e+00,-7.720125788112301990e-01
1.265105052286525700e+00,-8.002639849821470142e-01
1.278420156759407567e+00,-7.583139667482421409e-01
1.126826002254705195e+00,-7.543743587739311085e-01
1.023566673859586107e+00,-8.625913624998705620e-01
8.387451464639809062e-01,-9.191014807538970821e-01
7.318723656307176695e-01,-8.699888675912973435e-01
6.234063013570916301e-01,-7.775444787792141765e-01
5.880483196512418242e-01,-6.555789000258526178e-01
5.860232242718945717e-01,-4.524252234156357910e-01
3.601607124389475389e-01,-4.310696267719852370e-01
3.169315071639380865e-01,-2.011809948643601964e-01
1.457016303866304763e-01,-1.983664542137553721e-01
-1.286070658713228676e-02,-2.690510148418326919e-01
-4.662445705089396375e-01,-2.782020844048010422e-01
-8.301945108670932827e-01,-3.490316843113896450e-01
-1.245139046427180318e+00,-3.698491669573158447e-01
-1.582203668138102870e+00,-6.066481280636371043e-01
-2.084531539696802493e+00,-5.710318262758744545e-01
-2.343733733211554426e+00,-6.499581766309099340e-01
-2.405806999053377027e+00,-5.542535460006036141e-01
-2.234345349493473964e+00,-2.213726508699155049e-01
-2.120692782481792715e+00,1.756898789790494186e-01
-1.822349299994843408e+00,7.372657626011284160e-01
-1.410610693540631955e+00,1.209790730034772555e+00
-1.019783627722080865e+00,1.747011969740468684e+00
-6.103547629093840632e-01,2.235926274598673658e+00
-1.665486465850242737e-01,2.606619199982726620e+00
1.208785929493982475e-01,2.866521846044614019e+00
1.978104347913591243e-01,2.947369022621321388e+00
1.712676331566513888e-01,2.817973440141891217e+00
1.174299249426338093e-02,2.437779306552688929e+00
-1.397902256256519093e-01,2.116064154908223749e+00
-2.520161405980594349e-01,1.773908343739599935e+00
-6.895885870251325933e-01,1.399588115154565049e+00
-6.184299167617953730e-01,8.884536718862040550e-01
-7.934774914476199204e-01,6.885503674261838070e-01
-8.002244435829352076e-01,5.532075754847393112e-01
-6.862907684569166111e-01,3.051065364452918427e-01
-5.483085623605483683e-01,2.179390241548181950e-01
-4.658852172558400895e-01,1.720795898343497887e-01
-1.639340977239783226e-01,6.643056835719501896e-02
9.287933929525001020e-02,1.044864530080859277e-02
2.711397843788736495e-01,-1.983810166787615126e-01
2.695011645300997016e-01,-2.939971929936472383e-01
3.809902800432142800e-01,-4.563963469858522415e-01
3.731272894169353482e-01,-7.582438237830814165e-01
4.887563855657894862e-01,-8.222855600013764255e-01
6.175662390436658100e-01,-1.134510212768523374e+00
6.808774977139522289e-01,-1.250848650829437858e+00
8.474068304752081504e-01,-1.296337753261158632e+00
1.026312560244996730e+00,-1.290258773687921190e+00
1.400021935746796009e+00,-1.191365720558958508e+00
1.648859975921166843e+00,-1.020628584685346452e+00
1.942855829552225133e+00,-9.157452586941952077e-01
2.119803227585471461e+00,-6.881054744310358684e-01
2.219699062528153632e+00,-6.516045371240914985e-01
2.273440242595785588e+00,-6.214927796051072928e-01
2.124394133665814532e+00,-7.008892525927516992e-01
1.976189211193962514e+00,-7.399916211609238736e-01
1.504856287901078504e+00,-9.946227044621743785e-01
1.160476634914057836e+00,-1.173801863933963574e+00
7.765870683183453416e-01,-1.325531461991623416e+00
3.685541661247846434e-01,-1.546632082925131435e+00
1.899214158787708717e-01,-1.542245662374861492e+00
-1.482582833047218218e-01,-1.400024754608447886e+00
-1.373930574842767427e-01,-1.154992426148151230e+00
-8.733392857635233208e-02,-8.652223836938118806e-01
1.184465970711931493e-02,-6.239355260589651841e-01
-3.242892900907767134e-02,-2.146060285562404468e-01
8.941288676627012766e-02,1.815276981149636093e-01
9.059093204090737372e-02,3.931018967852298318e-01
8.354578994756065025e-02,5.622703752373606756e-01
-9.562082653671730159e-02,5.967146187399964274e-01
-4.969807850937657534e-01,5.838640545563649198e-01
-8.514472062915310335e-01,3.362281347044628887e-01
-1.232371711676350623e+00,1.633358678108916273e-01
-1.712780666729027512e+00,1.866273345395730310e-02
-1.904111959891692463e+00,-2.904037828367092011e-01
-2.128674057276283893e+00,-2.698963023470720146e-01
-2.227162753495393499e+00,-2.501288554262120489e-01
-2.319466486303372932e+00,-6.590148522232494588e-02
-2.060052222708239178e+00,1.233983980784802703e-01
-2.020897203955096977e+00,4.602476216591769309e-01
-1.747345464937150927e+00,7.678376289611275052e-01
-1.331291270151871320e+00,1.059235493962807695e+00
-1.157457551698416243e+00,1.337264962750748465e+00
-8.720682738413292334e-01,1.542364264349850300e+00
-6.820992633902410729e-01,1.615834504462614785e+00
-5.591673510374016720e-01,1.653964255066842748e+00
-4.728081606863372421e-01,1.591327948834745376e+00
-4.758390071919164077e-01,1.492276370275835706e+00
-3.999497748098733707e-01,1.325831509282092480e+00
-4.634713609162337544e-01,1.188653949493468254e+00
-1.899217349130899180e-01,1.099963976347195782e+00
-1.953833915450359227e-01,9.189434084403180769e-01
1.470334012257848710e-01,8.125953641108972780e-01
3.521919614908659013e-01,8.581128450217503367e-01
6.073609715715627688e-01,7.597011863335418891e-01
7.709350674464413578e-01,6.333093119793732351e-01
8.239756065500327686e-01,4.909055423943310403e-01
8.312667068325761965e-01,2.680143317109440759e-01
7.186179301166234490e-01,5.179792534769356999e-02
5.133962285232283040e-01,-3.754427641896547208e-01
2.845045566362642830e-01,-8.710301114531295852e-01
8.712719397814466804e-02,-1.094899082199696672e+00
1.831562673254806539e-02,-1.346058895090795016e+00
-1.616785620156954706e-01,-1.524699552664542157e+00
-1.955990000062843848e-01,-1.499057662781598133e+00
-6.505329731690656647e-02,-1.501753112709761639e+00
2.118363318409820228e-01,-1.354966175590210042e+00
5.452779572056800639e-01,-1.027708642540892336e+00
1.013666239072716024e+00,-5.617569151083580126e-01
1.349169120571435787e+00,-2.556788345200798895e-01
1.784245317696780520e+00,2.341502262854686378e-01
2.044068282225063093e+00,4.930797577446639490e-01
2.358227933042568392e+00,7.105099398875240890e-01
2.412958184814134377e+00,8.074901853909794980e-01
2.305907544720461111e+00,6.812583444244032504e-01
2.008805162920539011e+00,5.131297012728681661e-01
1.728189120334832296e+00,2.658681286320208614e-01
1.218806987209112291e+00,-2.932576447666161018e-02
8.023464551867028893e-01,-3.839062684326425279e-01
4.893560674104793784e-01,-7.366330479746607818e-01
-4.417725399743097081e-02,-9.259567942278760233e-01
-9.798765225306677040e-02,-1.015772838311044923e+00
-2.908110962751324080e-01,-1.066994818955253388e+00
-4.389816296240590110e-01,-1.010010422681038911e+00
-5.382591290122474836e-01,-8.532966990839041532e-01
-5.553053178232028042e-01,-7.156226259609502760e-01
-7.326236512328752060e-01,-5.860009778372752276e-01
-7.154157088751161853e-01,-6.224781876873719533e-01
-7.743425724472491334e-01,-5.549717532976000678e-01
-9.364228494294242200e-01,-5.605982502152151437e-01
-1.148703865598416529e+00,-7.194200672445437705e-01
-1.248183699056245377e+00,-6.619815596832504534e-01
-1.375441798061348697e+00,-7.039051524621469103e-01
-1.405167402021518797e+00,-6.127128798146511679e-01
-1.370899255931270710e+00,-4.763656717079209346e-01
-1.137396668681437184e+00,-4.550551845455809152e-01
-1.008626409937544155e+00,-1.409692858422598449e-01
-7.657843047651791135e-01,1.358564552514609780e-01
-3.841498030270319441e-01,3.573132188476853544e-01
-2.377310462801940361e-01,5.733594578804346309e-01
-5.288059202132822101e-02,7.112132099839056920e-01
9.443734209946925973e-02,7.711431720028825154e-01
1.226267395002852978e-02,8.442779245695514190e-01
2.808143770667645422e-02,7.208820858594647829e-01
-2.087045799955902226e-01,5.832534003988341098e-01
-3.415464854715289933e-01,4.080911675620688128e-01
-6.623459900692549862e-01,1.918947073224327171e-01
-8.433463214899729055e-01,2.809879204792423146e-02
-1.015783466406962265e+00,-1.054295170993890668e-01
-9.047944588129275267e-01,-4.808897840254106049e-02
-7.502388549477374546e-01,2.227589634440473310e-01
-6.319967615149990614e-01,3.526838253785730681e-01
-2.757802374657988831e-01,5.777977702203075383e-01
-1.185312518608168733e-02,7.884657445297502676e-01
2.297715652247752649e-01,1.107578602165546933e+00
5.298010824241624617e-01,1.315451816817862607e+00
6.622926648125168070e-01,1.431388753231771283e+00
6.433297622888883849e-01,1.297006634551895576e+00
6.891000531738046275e-01,1.191685490136650039e+00
4.468514037929560145e-01,9.089799679863630466e-01
2.180024824604208100e-01,4.943873666555117508e-01
-4.158284028457970294e-02,1.899036492600491011e-01
-2.318463034736352735e-01,-1.318787284118973918e-02
-3.852202416420689723e-01,-2.434484432982915170e-01
-4.988171892132495788e-01,-2.907334981075436753e-01
-3.866192833659701789e-01,-3.938660083941607493e-01
-3.145250189264481300e-01,-2.495934428703913688e-01
-5.368862823741316764e-02,-1.197032407496261414e-01
2.166732265799566348e-01,9.147418684097907704e-02
5.325751189391283447e-01,2.639451705621191357e-01
6.403881638336172966e-01,5.854093128200468232e-01
8.653814191939558365e-01,5.461518950978828668e-01
1.049605191633770307e+00,7.486756840903373567e-01
1.078300823569683820e+00,5.970834492202007349e-01
1.003050710659512790e+00,5.441544431335096910e-01
9.710400683609921035e-01,3.634021092302467393e-01
8.653969537501779996e-01,1.925499391809376015e-01
7.500048098458652612e-01,4.331475844371541345e-02
8.697559580678682067e-01,-1.280290307627345858e-01
7.157663878170228422e-01,-4.059094438137039185e-01
7.811126298323870509e-01,-4.018667606070099874e-01
8.248502916630956472e-01,-5.168982515478919293e-01
9.042680089250284547e-01,-5.921248251788179262e-01
7.989098673309819043e-01,-7.175773662803300867e-01
8.033340539865667651e-01,-8.098601895296013709e-01
7.108977514186548552e-01,-9.776094461960489479e-01
4.620349728850068893e-01,-1.185277471257639270e+00
1.592660409364961560e-01,-1.444527506013630225e+00
-1.621157810211644734e-01,-1.725672047445317103e+00
-4.724617616926319874e-01,-2.059815303466947967e+00
-8.620216304204700863e-01,-2.285193502852024938e+00
-1.137014601149215709e+00,-2.400584481125281222e+00
-1.233242986700463284e+00,-2.395212652391683239e+00
-1.227948341262038667e+00,-2.283166461380542245e+00
-1.080681587682624345e+00,-2.009797658382493246e+00
-8.063140880744914529e-01,-1.464721750658307897e+00
-5.212282287801706104e-01,-1.057129224801272915e+00
-8.704729697477461836e-02,-4.302981448865133562e-01
3.711091946709513811e-01,4.750207204134318517e-02
6.624578491757386889e-01,5.353927717526738572e-01
7.972776294164917177e-01,1.002274528414079047e+00
1.014366210008418978e+00,1.171773565583721366e+00
8.312493055306044987e-01,1.283970936544671648e+00
7.478432089869697652e-01,1.299849217693884951e+00
4.295849479545863492e-01,1.206082113237950226e+00
-6.907548993661076497e-03,9.889650555923324982e-01
-3.813934078459246257e-01,7.517253068227430779e-01
-6.747884054943703580e-01,5.967333554451405009e-01
-8.597305811104059003e-01,4.518286125139764908e-01
-1.112241152602104100e+00,3.348732609556517303e-01
-1.320840493439667362e+00,4.917463712854611702e-01
-1.261760373404882785e+00,6.146296749365148804e-01
-1.388465472130271383e+00,7.416345505823144224e-01
-1.221415143828483707e+00,9.099115531789833122e-01
-1.182639912657040604e+00,1.203900232670595205e+00
-1.106486786681270651e+00,1.146094035713348225e+00
-1.084258354845742511e+00,1.231436643875711612e+00
-1.035024590762946062e+00,1.244619590280895638e+00
-1.334493743006521571e+00,1.080579861092249239e+00
-1.268280269795428294e+00,1.023574796373758478e+00
-1.148537766031697327e+00,9.628231823244141063e-01
-1.078985798392666728e+00,8.171775770792005789e-01
-9.336898216737566925e-01,7.697009862445561845e-01
-8.671205262594894325e-01,8.984496717142521627e-01
-3.562981151892271603e-01,9.343707813860885336e-01
-8.938316813493507595e-02,9.026916626326950688e-01
3.931388897250267522e-01,1.074695320518739283e+00
6.359001898928625662e-01,1.245667775879261141e+00
9.524575989608418114e-01,1.097198076878139528e+00
1.170598277889393968e+00,1.146645611721399671e+00
1.194569163971199277e+00,9.138289323450831114e-01
1.083885104190637882e+00,6.186904730915392392e-01
1.119045183766705032e+00,1.843956182730699944e-01
9.244629260161596473e-01,-1.195160848306668355e-01
7.863987490925705703e-01,-5.473561484891285023e-01
5.810170086684159907e-01,-8.627435464405259768e-01
5.033139927729546326e-01,-1.174317705527746059e+00
5.035785269269941189e-01,-1.383164315494346264e+00
5.593837272887743906e-01,-1.376792317001981125e+00
6.891367970982380520e-01,-1.417694569648509706e+00
9.366447372953651263e-01,-1.267955382459035496e+00
1.310527182096651977e+00,-1.073537821722733820e+00
1.520330962849322232e+00,-9.939320709251940889e-01
1.650571199138585632e+00,-9.487787786571787452e-01
1.887508776740540739e+00,-7.791927165582677173e-01
1.831647107054978241e+00,-9.093679689047079462e-01
1.546548200763154135e+00,-1.003430589042439980e+00
1.403549579134562464e+00,-1.280232348125785569e+00
9.651312189912409911e-01,-1.557452206706082976e+00
5.730376975924634797e-01,-1.806775285218699789e+00
2.545084359993926570e-01,-2.041127689304369941e+00
-6.168815239747020562e-02,-2.183806571232257632e+00
-3.195026235713637197e-01,-2.132797322026176001e+00
-4.087095226979697848e-01,-2.049677302172785431e+00
-4.412784147017468350e-01,-1.687054785107935606e+00
-4.496815626550200173e-01,-1.470848609832019704e+00
-3.107296369502651756e-01,-9.131580089170325820e-01
-2.193575239871358995e-01,-6.048985189135209772e-01
-1.819681119724170237e-01,-9.160947344599959519e-02
-4.842726448144259871e-02,3.216353875821463815e-01
-1.141239542673175567e-01,6.529496098623086553e-01
-1.306321973585471974e-01,8.105492262117645064e-01
-3.269721047963268790e-01,9.636848323432134489e-01
-4.997043178207424829e-01,1.063228557036329569e+00
-7.030702452684922665e-01,1.119837551780655582e+00
-9.060755969856161274e-01,1.110020594444214748e+00
-1.001645373673845318e+00,1.232457266725196288e+00
-1.165558736346354429e+00,1.225637890657294671e+00
-1.066437579228338040e+00,1.359954121258787341e+00
-1.157485191531713919e+00,1.431399282513742044e+00
-1.063004304588806015e+00,1.557904267261710274e+00
-9.664784258896053082e-01,1.577380908111658986e+00
-1.024534201752176354e+00,1.645960651608974201e+00
-1.116390742172784112e+00,1.506760534004766283e+00
-1.319225610807146731e+00,1.287439368009192675e+00
-1.418206985206449167e+00,1.087502037973397728e+00
-1.656253942052535510e+00,8.266699191212102393e-01
-1.989913809361124830e+00,5.244053259350496266e-01
-2.012350328660134302e+00,1.826478992743444107e-01
-2.114713494224896184e+00,-9.832642218580721349e-02
-2.076389895980923495e+00,-2.407845280889229223e-01
-1.965028475161814336e+00,-2.691252913688129689e-01
-1.564249633158449226e+00,-1.445632565909437117e-01
-1.153913040500473608e+00,1.097723815275273296e-01
-6.533323877535266444e-01,2.861401006545142289e-01
-1.787942292581776518e-02,7.102975837608326293e-01
6.119283973907647667e-01,9.030567663449758919e-01
1.156359025211175728e+00,1.231328406943499099e+00
1.722569032652481624e+00,1.359593095538055074e+00
1.942930332561474405e+00,1.325527993781237646e+00
2.114791310874933661e+00,1.253788688484023250e+00
2.158365339472409161e+00,9.865020047380222978e-01
2.142635842819466063e+00,6.689528654771167426e-01
1.921675831642812637e+00,1.781068703482663607e-01
1.664945044934814877e+00,-2.394485351957696406e-01
1.414485824908452427e+00,-7.112153800993538111e-01
1.230053986061754978e+00,-1.033738761645723425e+00
1.080175910306903297e+00,-1.257292912216091407e+00
1.080545109822418137e+00,-1.410807045850558605e+00
1.000042243774997175e+00,-1.498627176792664883e+00
1.009575246047607955e+00,-1.400238191333717186e+00
1.072404799671736519e+00,-1.403810842962669225e+00
1.069901097246569899e+00,-1.346114778723773719e+00
9.791586062541156599e-01,-1.151993274788522204e+00
9.444154978925597410e-01,-1.263647367114623332e+00
8.657789584882402689e-01,-1.176476749432767033e+00
6.035129579994278348e-01,-1.043871880933999297e+00
5.050095858748456790e-01,-1.218456338684042795e+00
3.037726205091360043e-01,-1.314549617704573459e+00
2.249373931336655641e-01,-1.292283774236462790e+00
9.336095182012144056e-02,-1.165270911640216678e+00
1.438747029861747045e-02,-1.015357989400623495e+00
7.025891869140102330e-02,-7.747826219970347372e-01
1.819753895438699365e-01,-4.788164979126273701e-01
2.676695347892166787e-01,-2.089981217395306123e-01
4.205958355676281402e-01,7.739322960946605490e-02
4.423701129804158971e-01,2.933990334766728436e-01
3.505564244658208040e-01,4.844810559642875880e-01
2.054408070225455241e-01,5.261156084209637207e-01
1.494211914224496604e-02,5.548820418403538346e-01
-3.283075393780784390e-01,4.290245236049064492e-01
-5.625125332736621298e-01,3.320224791921881913e-01
-1.073499192580330774e+00,6.249042748434535666e-02
-1.286003967942404236e+00,-1.325612681755281019e-01
-1.608772575207424005e+00,-1.357321603069926996e-01
-1.712740567124055868e+00,-1.483321447802236071e-01
-1.779774799333306845e+00,-1.428549790287654553e-02
-1.654193578058984926e+00,1.312428006200239694e-01
-1.587592920998504686e+00,2.752722385465664612e-01
-1.350790718972379789e+00,6.262527867784060120e-01
-9.795415814701566859e-01,8.716279699918548785e-01
-8.119918884629216960e-01,1.115850734630654095e+00
-5.440094177481066273e-01,1.243028187847067700e+00
-4.630824957446896262e-01,1.231903734869755240e+00
-4.997421645746406571e-01,1.025291383965687642e+00
-5.485178596711686172e-01,8.601073248521633463e-01
-7.787457009612757108e-01,4.881925430480482664e-01
-8.784530850839900040e-01,1.444940493546386096e-01
-1.133374167944115163e+00,-4.563022766779854106e-02
-1.135217583926940943e+00,-3.347776113748625049e-01
-1.197891690125899578e+00,-3.528623852782441506e-01
-1.252256486028915594e+00,-5.457414559531489351e-01
-1.002925683095553966e+00,-2.811049552288272246e-01
-6.349886267673464646e-01,-1.909270940688307938e-01
-2.122272650691742757e-01,1.173093986076658712e-01
4.250348915613624129e-02,3.611538801889577766e-01
4.711162912752056564e-01,6.106850267274464006e-01
7.873203797484340516e-01,7.137587028848186854e-01
1.010334265273750809e+00,9.657453676562471889e-01
1.064030828415142738e+00,9.922490890902042615e-01
1.260337760796943707e+00,9.080494945801149687e-01
1.119239820332752045e+00,9.185850826509579514e-01
1.227828413139009367e+00,7.831968100453378101e-01
1.105219597506024831e+00,6.847049699117150334e-01
1.125668873958902694e+00,5.341995254164534357e-01
1.180596373024168644e+00,5.026317531569938213e-01
1.243416785931370505e+00,3.512124421363709281e-01
1.242850919002703058e+00,3.823117701419435077e-01
1.304797117783389471e+00,3.924769006726677723e-01
1.304606445644177048e+00,2.878820248868459442e-01
1.188275964947284047e+00,2.406302844317037559e-01
1.133392145681020757e+00,-3.553452913724794437e-02
9.952235044901429628e-01,-1.579169933768886369e-01
6.470502613148865212e-01,-3.562019047857978293e-01
3.446131809988812744e-01,-6.946938348010748276e-01
-1.274425944809789990e-01,-1.031434691320931796e+00
-3.917111817601431900e-01,-1.343543933041704497e+00
-7.522158924107849032e-01,-1.639092628677383923e+00
-8.648109426668468824e-01,-1.694035662689754140e+00
-1.004234872142885315e+00,-1.762671687262251430e+00
-8.580798825914398575e-01,-1.578951583598380504e+00
-7.085051707825231748e-01,-1.241720040912563494e+00
-2.597531031693532388e-01,-1.011581585099600833e+00
3.472467668675958269e-02,-5.278749160758334780e-01
5.667879794080764588e-01,-1.721415117424024976e-01
8.371142519334353604e-01,1.702692757672054358e-01
9.876324696097500411e-01,5.064721074051162786e-01
1.229295882128611073e+00,6.112202000392377155e-01
1.131066481565690118e+00,6.501514725354188284e-01
1.108991838483877057e+00,5.867408822748860775e-01
8.420678822444589429e-01,2.555292201468759572e-01
4.284598119928402782e-01,-5.460397524772132166e-02
2.005902595524005905e-01,-3.449037902611035156e-01
-2.367961997842081834e-01,-6.581062244673112627e-01
-5.107410385860550184e-01,-8.901339234177747528e-01
-7.152071541657758491e-01,-1.107679140296783826e+00
-8.305575727819231036e-01,-1.140478973965999510e+00
-8.360217908034001111e-01,-1.082080803116416634e+00
-8.853301848291996734e-01,-8.626231262875135863e-01
-8.106867401280084540e-01,-7.143690459562491712e-01
-8.205376236837103043e-01,-5.152022263264053326e-01
-7.212830889629163744e-01,-4.948418756601085100e-01
-7.988640411826495313e-01,-2.569038287864313652e-01
-7.728934889011326304e-01,-1.965930527858033572e-01
-8.522621787563184892e-01,-5.576699101993096153e-02
-1.011497216088932172e+00,-8.807131041531511551e-02
-1.132037315013189493e+00,-1.120171473068948403e-01
-1.103408130692997480e+00,-5.534042891860880414e-02
-9.924755256732038511e-01,8.272781142931193155e-02
-9.629721683601418780e-01,1.737180893967190665e-01
-7.080523360756281193e-01,4.106649828461623741e-01
