mic1_voltage,mic2_voltage
3.282318421275935011e-02,-2.455370828223204724e-02
4.914969433959172074e-01,-6.141814728766060993e-02
8.719272517268473743e-01,-1.048765258935426548e-01
1.178013402973945967e+00,-1.315390296059081310e-01
1.355330270234495371e+00,-1.623068636862470826e-03
1.340495170874082209e+00,2.697817847240605582e-01
1.346227261688752286e+00,5.226849756621458898e-01
1.052667031090709360e+00,7.541693254097322496e-01
7.844196699870273903e-01,8.760005551562464188e-01
5.091931358890007253e-01,9.672850438450716348e-01
2.300304059712884874e-01,9.024819000034967065e-01
2.503826998194948195e-02,9.636415017575872266e-01
-5.811427203799165997e-02,7.104480067004039778e-01
8.694005106007773875e-02,5.649689884943817075e-01
2.576330655067238240e-01,5.370576143610098496e-01
5.072175777424393628e-01,6.180699739509567525e-01
7.960872059950505619e-01,6.684704812172805877e-01
1.154567922917744793e+00,7.873313948712007404e-01
1.383503989005736345e+00,8.277007173917396710e-01
1.400101763639510999e+00,9.829609667415580843e-01
1.373486365518559627e+00,1.064499357648618361e+00
1.290410262496551663e+00,1.132244155066763014e+00
9.824054581817058818e-01,1.220097122244173882e+00
7.357218448675588718e-01,1.140461035210134089e+00
4.589217680327474236e-01,9.458603038259204565e-01
3.636073944332590679e-02,8.266372475507954842e-01
-2.002010804208632921e-01,6.052081310374878287e-01
-2.785460286066160918e-01,4.105901368444175858e-01
-4.801737216987229107e-01,1.501283298716481751e-01
-4.492545049262173240e-01,1.083242456748588767e-01
-4.272898690784235898e-01,-7.392471616333801121e-03
-2.952404116835996017e-01,-6.858472139577943827e-02
-1.954254006511971786e-01,4.000861595035692941e-02
1.386004269056725080e-01,3.217276591479349968e-01
1.037104504220412726e-01,4.540828869226898323e-01
1.085987498151150532e-01,5.015404707373402049e-01
4.708932549025807157e-02,6.118783706475431350e-01
-3.863044240549722008e-02,6.122823814405062848e-01
-1.785509329275127358e-03,3.453910171582580402e-01
-8.685816228505227610e-02,2.091262228614630403e-01
-1.014936811158335672e-01,-1.681309942947396274e-01
-1.080127781232180229e-01,-5.471225243926520765e-01
-7.307207432806675507e-02,-9.698495646345117738e-01
-7.659818113059879696e-02,-1.381326787375395382e+00
2.397968243863369403e-02,-1.579879797034538624e+00
4.160605786967845610e-02,-1.808106339154869735e+00
7.339879340304095168e-02,-1.743121936927427562e+00
1.247011676159393151e-01,-1.497843736004052628e+00
1.709816118093694104e-01,-1.237181794232359522e+00
1.213174419930220654e-01,-9.427767367505743845e-01
2.707787629694388340e-02,-4.616481734477103638e-01
-2.409086511491559043e-02,-2.074995264552732532e-01
-1.253331083272986313e-02,4.451833220398682123e-02
-2.023595454054065435e-01,3.468755308992055308e-01
-1.489428515163422895e-01,2.672376330209487727e-01
