mic1_voltage,mic2_voltage
-1.937536913896954760e-02,-1.056962203601452023e-02
6.531133945501298443e-01,-5.425069893412363259e-02
1.337086899268722817e+00,4.333669027579875599e-02
2.064116663434238941e+00,3.431815736364265956e-02
2.473848075572240734e+00,-3.940347958366425402e-02
3.036045953538399900e+00,1.281997006452604594e-02
3.436803049428779566e+00,6.540911019989141539e-02
3.664117744201036864e+00,1.299186822407188413e-01
3.931280877312642197e+00,2.511180807795786452e-01
3.943681592931424618e+00,2.808444099539260663e-01
3.999220681661046495e+00,4.736472079637435995e-01
3.789143388263286116e+00,6.859158206090689713e-01
3.606872286997977017e+00,1.009180011585408154e+00
3.171224089883959874e+00,1.206850306364435355e+00
2.702707277866422952e+00,1.312617997886526444e+00
2.149383605715178280e+00,1.674002482589881380e+00
1.596043055389421816e+00,1.729126296309587030e+00
9.510907124334495588e-01,2.003615799700146471e+00
2.296233415564963853e-01,2.185126822155335269e+00
-4.530241832809459024e-01,2.323336617230115753e+00
-1.036646799323375223e+00,2.642127588860654797e+00
-1.800699421933712685e+00,2.626305043785645665e+00
-2.285251482568650960e+00,2.792466288610507608e+00
-2.848894342508756061e+00,2.747403646112323017e+00
-3.258409027268484248e+00,2.625497932807550949e+00
-3.565464070638214800e+00,2.481147327840019567e+00
-3.866062200533721072e+00,2.252990568983429309e+00
-4.013590678583155658e+00,1.996127321668597743e+00
-4.019047550413301195e+00,1.662327403355184918e+00
-3.831286795853511506e+00,1.212267170946759398e+00
-3.619833012998475930e+00,8.186550510335296460e-01
-3.273731814579916133e+00,3.274828542637095996e-01
-2.854972089545049663e+00,-1.327183274614629205e-01
-2.373318840634635940e+00,-6.714659211209315082e-01
-1.824717784369430884e+00,-9.886854608054925775e-01
-1.079935781722319188e+00,-1.400658209605301519e+00
-5.200573782073484308e-01,-1.906994791075445672e+00
2.973803535071510851e-01,-2.207120703699021469e+00
8.447298372623731622e-01,-2.418717557876573387e+00
1.543711527087887392e+00,-2.606151143360830869e+00
2.099163260736361725e+00,-2.702706638212084123e+00
2.597792357969000321e+00,-2.775835115023905786e+00
3.166634044701062134e+00,-2.660522739365353218e+00
3.497225691756900900e+00,-2.598923237636576733e+00
3.809100127341532360e+00,-2.422210623408813657e+00
3.917038059500887126e+00,-2.100170920542100195e+00
4.025237225365751570e+00,-1.819163981913272998e+00
3.899983265303348823e+00,-1.437530179181714773e+00
3.782788536633399090e+00,-9.787485712805698013e-01
3.544331370311400775e+00,-4.901575180588584879e-01
3.113976132301106592e+00,-6.028642387139204750e-02
2.557044503559775528e+00,4.483017827817665224e-01
2.017996819978281842e+00,8.672257070455877681e-01
1.487684423195550387e+00,1.329411385085567332e+00
7.390710876896994241e-01,1.745990188413998112e+00
8.598573036410854520e-02,2.016270514994338292e+00
-6.100457713167246609e-01,2.407963685614055827e+00
-1.288735530264862872e+00,2.586188270425653357e+00
-1.834545834431023037e+00,2.764558901293483029e+00
-2.451308825158110771e+00,2.789881911392805058e+00
-2.960059557732156232e+00,2.779903367545156989e+00
-3.361826570697365124e+00,2.666072142952763180e+00
-3.644549743838289668e+00,2.460006527855429059e+00
-3.928004034338007155e+00,2.207409048625394110e+00
-4.143388145183957150e+00,1.862198283524168829e+00
-4.008964035438190798e+00,1.511315148529397412e+00
-3.866635108134433452e+00,1.157863848676097707e+00
-3.569473338814459940e+00,6.512504544280334207e-01
-3.161771321622301123e+00,1.972445692739968059e-01
-2.868858053979944867e+00,-3.090474735492194092e-01
-2.262174418201043924e+00,-6.540382203605261680e-01
-1.672713654060990818e+00,-1.180644549656224562e+00
-8.848176093087818384e-01,-1.626510401521652716e+00
-4.451138414824348799e-01,-1.881990968552780030e+00
3.132323589532322594e-01,-2.232801464262391455e+00
1.007871222852723125e+00,-2.438113802295814203e+00
1.623207766097749083e+00,-2.682853119199045011e+00
2.255027564031407916e+00,-2.728685329735669907e+00
2.839011852671023295e+00,-2.741529946576295451e+00
3.157182140121939540e+00,-2.748399165827423829e+00
3.558306536939343623e+00,-2.493509131237948928e+00
3.822654009064146319e+00,-2.310716106218005716e+00
3.913561467945520178e+00,-2.067111635862898922e+00
4.000270906066224263e+00,-1.663238049342456337e+00
3.887470430579444969e+00,-1.293663856636481313e+00
3.717647223158551117e+00,-8.592611388977854370e-01
3.467120744631291718e+00,-3.540775793507986990e-01
2.891893709637966658e+00,6.731373481528968306e-02
2.459848499428035407e+00,6.071739415564403330e-01
1.885259714652039120e+00,1.000953652970445917e+00
1.257216244412375783e+00,1.469685617054698579e+00
6.051490386878738414e-01,1.889677143918707891e+00
-1.345622277902514541e-01,2.179434734963606513e+00
-7.487530095851030465e-01,2.389584339974542893e+00
-1.430505135761343638e+00,2.626399932863541675e+00
-1.987634142115124458e+00,2.716196333038861876e+00
-2.651079372300087389e+00,2.726857378681320832e+00
-3.070009607299152954e+00,2.626580767745365197e+00
-3.457096342281468004e+00,2.610838116839583112e+00
-3.696992016072575105e+00,2.511844785575211514e+00
-3.957111719160127272e+00,2.214230790756750444e+00
-3.918917935139358821e+00,1.882512285827839582e+00
-3.991837139415085112e+00,1.346293849719521152e+00
-3.778805376301166863e+00,9.254417447014404718e-01
-3.609903208206119096e+00,5.177614985085918775e-01
-3.078894588748680494e+00,3.988751710402247547e-02
-2.645433589033037602e+00,-4.276541298689224835e-01
-2.070014142033635984e+00,-8.661302843556980546e-01
-1.536755216800705925e+00,-1.241695731622952659e+00
-8.713202590052829821e-01,-1.665879617065750606e+00
-1.170987956120939921e-01,-2.002242136500159475e+00
5.499411220970926717e-01,-2.436483107833243178e+00
1.231152779265631825e+00,-2.514479578430566242e+00
1.753823344300499798e+00,-2.683451841219748335e+00
2.391487330945786027e+00,-2.726236137901975276e+00
2.917540879186000247e+00,-2.783839723380766351e+00
3.291533904719936565e+00,-2.639286816437812710e+00
3.606326625766620886e+00,-2.526048735181062987e+00
3.936390456606133625e+00,-2.371636700338466852e+00
3.956750353313198687e+00,-1.916044613644851902e+00
4.005659456245001415e+00,-1.621873534679311835e+00
3.880293920623412163e+00,-1.167094504057434534e+00
3.609728076297009203e+00,-6.798309727791645996e-01
3.316748282571649664e+00,-2.438153216918288180e-01
2.794544360942953443e+00,2.592384476077149169e-01
2.316019581672518868e+00,6.624592811125772363e-01
1.764782365526190056e+00,9.730258709501271586e-01
1.116425471400620761e+00,1.598399386718478477e+00
3.416425062220276310e-01,1.845638610131893564e+00
-3.027511444169328492e-01,2.165298651494257598e+00
-9.519362061770043626e-01,2.500061423046630260e+00
-1.577983019885484950e+00,2.666312881076496222e+00
-2.295423833601563324e+00,2.717982936836020436e+00
-2.677637764094447981e+00,2.678018457241065242e+00
-3.206374157567445149e+00,2.777783025137091855e+00
-3.592567347875473160e+00,2.557716081061674362e+00
-3.849391974972110830e+00,2.294702738549743160e+00
-3.942118902656750024e+00,2.015353409134967855e+00
-3.998571032687231241e+00,1.772609339521672656e+00
-3.947932254610194480e+00,1.314044635875018852e+00
-3.803081827962002226e+00,9.059597228443263539e-01
-3.452595162926089145e+00,4.070796977797271898e-01
-3.060346702742990477e+00,8.418037319226565063e-03
-2.509723039901566644e+00,-5.147216893276768124e-01
-2.060961499849570888e+00,-8.703734835422667349e-01
-1.318221902035765281e+00,-1.375112653813045593e+00
-6.405918237396384107e-01,-1.692903442902797151e+00
-6.343252149451454602e-02,-2.114956316500835598e+00
5.769216740534851562e-01,-2.411827363161595628e+00
1.365336827578615964e+00,-2.672332255875475404e+00
2.073295388467959910e+00,-2.740818680545721975e+00
2.520592770793373738e+00,-2.813603345962284230e+00
3.011806354589731782e+00,-2.729469603615743090e+00
3.457517101553589267e+00,-2.597008362539289017e+00
3.658953520055537201e+00,-2.443160894750942003e+00
3.884693471932861630e+00,-2.176321211326718519e+00
4.001393297986561848e+00,-1.843054933687355401e+00
3.866909452102949007e+00,-1.527081625974269441e+00
3.808996563445201655e+00,-1.186146849083736798e+00
3.658211608582238039e+00,-7.581144391662750781e-01
3.165304687648650361e+00,-1.115656894723809911e-01
2.699169071506711592e+00,3.784972862266856586e-01
2.213044062700956438e+00,8.401964639298665771e-01
1.595788185395044856e+00,1.330540905074409030e+00
9.183180259961396530e-01,1.653810565976062463e+00
2.937626388147660528e-01,2.028167499110924865e+00
-5.063839258912924413e-01,2.271134404630646308e+00
-1.016469861334454938e+00,2.529859848933961430e+00
-1.798344677921945856e+00,2.638681177915102261e+00
-2.336683405365139077e+00,2.771269615740023173e+00
-2.926158803906163897e+00,2.734057201843481444e+00
-3.264437480540168579e+00,2.766073266584489598e+00
-3.610813598626775978e+00,2.633803045752349803e+00
-3.947839744371911319e+00,2.357988033132984107e+00
-3.932200928751413027e+00,2.021985207838493892e+00
-3.940539764599325423e+00,1.600967840219107652e+00
-3.943461932784378288e+00,1.130725783053800670e+00
-3.616173438857604339e+00,8.477088139875150752e-01
-3.241609362522387627e+00,2.458244538677074875e-01
-2.880229542605793114e+00,-1.759368505914890024e-01
